x,y,z
691096.3795650352,5336117.840257243,-24
691096.5179025297,5336118.210659295,-24
691096.6525685998,5336118.57199705,-24
691096.7836187646,5336118.92433285,-24
691096.9113312677,5336119.268329475,-24
691097.0578503119,5336119.66370442,-24
691097.1995413207,5336120.046720311,-24
691097.3364966479,5336120.41748085,-24
691097.4688086465,5336120.77608974,-24
691097.59656967,5336121.122650684,-24
691097.7350051086,5336121.498338877,-24
691097.8779966529,5336121.8863717085,-24
691098.0147517098,5336122.257203768,-24
691098.1454348657,5336122.6110198675,-24
691098.280899609,5336122.976822008,-24
691098.4832382944,5336123.520218699,-24
691098.5792238627,5336123.761019673,-24
691098.7204128908,5336124.055580564,-24
691098.9082496725,5336124.391647912,-24
691099.0901274617,5336124.732700078,-24
691099.2122183952,5336125.099116069,-24
691099.2483379634,5336125.496250095,-24
691099.2312342849,5336125.768131995,-24
691099.1670782019,5336126.163293052,-24
691099.059618536,5336126.614162824,-24
691098.9431734963,5336127.016524988,-24
691098.8290546197,5336127.369417241,-24
691098.7006064146,5336127.736487609,-24
691098.5593225955,5336128.114659086,-24
691098.4066968771,5336128.500854664,-24
691098.2505578479,5336128.877083296,-24
691098.0936507949,5336129.239288378,-24
691097.9307683592,5336129.600772351,-24
691097.7630799393,5336129.959126291,-24
691097.5917549334,5336130.311941268,-24
691097.4179627396,5336130.65680836,-24
691097.2192651418,5336131.035431218,-24
691097.0198503693,5336131.398543688,-24
691096.8222010068,5336131.741116551,-24
691096.62804479,5336132.059590726,-24
691096.422514312,5336132.374963881,-24
691096.1175843,5336132.792960371,-24
691095.8421101145,5336133.100785218,-24
691095.6583508003,5336133.255041334,-24
691095.3164007635,5336133.425521557,-24
691094.9357009688,5336133.508866592,-24
691094.5555810787,5336133.602755862,-24
691094.3885466128,5336133.66056389,-24
691093.9135354956,5336133.8417853685,-24
691093.4720500101,5336134.010325951,-24
691093.1326773979,5336134.139927077,-24
691092.77106002,5336134.2780542765,-24
691092.3888893411,5336134.4240605235,-24
691091.9878568258,5336134.577298795,-24
